Town,State,Zip,Total_Runs,Last_Run_Date,Min_Price,Max_Price,Average_Price,Latest_Median_Sale,Latest_Median_List,Latest_PPSF,Latest_Homes_Sold,Latest_Inventory,Data_Source,Tax_Rate_Per_1000,Tax_Data_Source,Estimated_Annual_Tax,Estimated_Monthly_Tax,Min_Monthly_Price,Max_Monthly_Price,Avg_Monthly_Price,Months_Of_Data,Price_Trend
Boston,MA,02199,1,2026-04-01,5775000.0,5775000.0,5775000.0,5775000.0,8745000.0,2407,4,3,redfin,12.4,database,71610.0,5967.5,1300000,7850000,4084791,12,increasing
Cambridge,MA,02142,1,2026-04-01,2600000.0,2600000.0,2600000.0,2600000.0,1637500.0,1495,6,3,redfin,6.67,database,17342.0,1445.17,860000,2850000,1751041,12,increasing
Wellesley Hills,MA,02481,6,2026-07-01,2032500.0,2032500.0,2032500.0,2032500.0,,1039,2,0,redfin,12.1,MA_default,24593.25,2049.44,1080000,2032500,1545000,9,increasing
Boston,MA,02108,1,2026-04-01,1957500.0,1957500.0,1957500.0,1957500.0,1900000.0,1483,8,15,redfin,12.4,database,24273.0,2022.75,907500,2350000,1574583,12,decreasing
Boston,MA,02110,1,2026-04-01,1750000.0,1750000.0,1750000.0,1750000.0,2525000.0,1461,25,65,redfin,12.4,database,21700.0,1808.33,1330000,2450000,1974583,12,stable
Dover,MA,02030,6,2026-07-01,1590000.0,1590000.0,1590000.0,1590000.0,,352,1,0,redfin,11.19,database,17792.1,1482.68,845000,1590000,1217500,4,increasing
Boston,MA,02210,1,2026-04-01,1575000.0,1575000.0,1575000.0,1575000.0,1799000.0,1649,18,51,redfin,12.4,database,19530.0,1627.5,1305000,2000000,1659375,12,decreasing
Carlisle,MA,01741,6,2026-07-01,1500000.0,1500000.0,1500000.0,1500000.0,,471,1,2,redfin,12.82,database,19230.0,1602.5,1500000,1500000,1500000,3,stable
Boston,MA,02118,1,2026-04-01,1322500.0,1322500.0,1322500.0,1322500.0,1299500.0,1158,42,68,redfin,12.4,database,16399.0,1366.58,951000,1322500,1080291,12,increasing
Brookline,MA,02446,1,2026-04-01,1285000.0,1285000.0,1285000.0,1285000.0,1112000.0,832,29,23,redfin,10.24,database,13158.4,1096.53,808000,1285000,994666,12,increasing
Westwood,MA,02090,6,2026-07-01,1151387.5,1386387.5,1256527.08,1151387.5,864450.0,685,2,4,redfin,12.87,database,14818.36,1234.86,522000,1386387,878596,12,increasing
Millis,MA,02054,6,2026-07-01,1150000.0,1254500.0,1200750.0,1254500.0,1174950.0,447,2,2,redfin,15.31,database,19206.4,1600.53,550000,1254500,956625,12,increasing
Boston,MA,02116,1,2026-04-01,1200000.0,1200000.0,1200000.0,1200000.0,1525000.0,1277,49,58,redfin,12.4,database,14880.0,1240.0,1107500,1495000,1281083,12,decreasing
